#<lower left points><upper right points>
(0.29594,0.205268)	(0.296268,0.242725)
(0.29594,0.242725)	(0.296268,0.328553)
(0.292263,0.242725)	(0.29594,0.328553)
(0.496179,0.49339)	(0.53152,0.503659)
(0.496179,0.53105)	(0.52965,0.564289)
(0.48041,0.53105)	(0.496179,0.577274)
(0.573945,0.960473)	(0.735375,0.960564)
(0.573945,0.985404)	(0.795337,0.989563)
(0.487151,0.985404)	(0.567103,0.987678)
(0.53152,0.49339)	(0.538709,0.499225)
(0.53152,0.503659)	(0.54278,0.517032)
(0.496179,0.503659)	(0.5061,0.513478)
(0.897555,0.333264)	(0.901487,0.355593)
(0.897555,0.368192)	(0.899557,0.369595)
(0.897475,0.368192)	(0.897555,0.411504)
(0.808765,0.701968)	(0.903172,0.706346)
(0.808765,0.707477)	(0.928244,0.707645)
(0.752747,0.707477)	(0.786341,0.718659)
(0.879688,0.49339)	(0.914974,0.535625)
(0.879688,0.535625)	(0.889064,0.548342)
(0.732665,0.535625)	(0.735103,0.556488)
(0.0227203,0.497114)	(0.0237871,0.498539)
(0.0227203,0.598841)	(0.0524413,0.612245)
(0.00469314,0.598841)	(0.0109555,0.625277)
(0.756646,0.737301)	(0.78467,0.763368)
(0.756646,0.76355)	(0.766314,0.784013)
(0.685369,0.76355)	(0.689908,0.777475)
(0.516677,0.362887)	(0.572554,0.38962)
(0.516677,0.399193)	(0.569679,0.40425)
(0.478603,0.399193)	(0.480032,0.401483)
(0.681019,0.867193)	(0.792129,0.868198)
(0.681019,0.870515)	(1,0.870947)
(0.676197,0.870515)	(0.681019,0.870947)
(0.757032,0.785653)	(0.758318,0.790365)
(0.757032,0.819665)	(0.886124,0.8204)
(0.734107,0.819665)	(0.757032,0.822427)
(0.366272,0.272839)	(0.366648,0.371952)
(0.366272,0.371952)	(0.366648,0.382962)
(0.347084,0.371952)	(0.366272,0.382962)
(0.928244,0.707477)	(0.936615,0.707645)
(0.928244,0.707645)	(0.936615,0.727581)
(0.808765,0.707645)	(0.916111,0.727032)
(0.335472,0)	(0.3495,0.00407679)
(0.335472,0.111151)	(0.339101,0.132178)
(0.334407,0.111151)	(0.335472,0.189071)
(0.761769,0.444383)	(0.897475,0.449827)
(0.761769,0.449827)	(0.778371,0.456457)
(0.69546,0.449827)	(0.734653,0.452289)
(0.199834,0.0302121)	(0.201334,0.151557)
(0.199834,0.151557)	(0.201334,0.257778)
(0.143818,0.151557)	(0.149949,0.164151)
(0.117647,0.216629)	(0.120278,0.247907)
(0.117647,0.247907)	(0.117864,0.251037)
(0.11126,0.247907)	(0.115026,0.372056)
(0.098249,0.407478)	(0.11126,0.410589)
(0.098249,0.410589)	(0.098898,0.451489)
(0.0882956,0.410589)	(0.0958592,0.463701)
(0.66208,0.785653)	(0.714448,0.795975)
(0.66208,0.797135)	(0.734107,0.822427)
(0.624466,0.797135)	(0.629612,0.798287)
(0.10175,0.410589)	(0.11126,0.646128)
(0.10175,0.646128)	(0.105856,0.662517)
(0.098249,0.646128)	(0.10175,0.685409)
(0.537046,0.090274)	(0.579181,0.173168)
(0.537046,0.173168)	(0.554348,0.184371)
(0.412792,0.173168)	(0.534162,0.18724)
(0.230404,0.257778)	(0.2307,0.375017)
(0.230404,0.471871)	(0.23146,0.558389)
(0.201334,0.471871)	(0.214077,0.499561)
(0.0958592,0.410589)	(0.098249,0.463701)
(0.0958592,0.463701)	(0.0966655,0.557481)
(0.0882956,0.463701)	(0.0905446,0.581298)
(0.437183,0.090274)	(0.445732,0.09915)
(0.437183,0.159247)	(0.442756,0.161077)
(0.412792,0.159247)	(0.429394,0.166462)
(0.366129,0.111151)	(0.367812,0.151497)
(0.366129,0.178316)	(0.375423,0.189071)
(0.335472,0.178316)	(0.353467,0.185173)
(0.132503,0)	(0.135094,0.0316024)
(0.132503,0.329017)	(0.135477,0.3925)
(0.131021,0.329017)	(0.13215,0.359474)
(0.00799558,0.23305)	(0.0634126,0.266884)
(0.00799558,0.270061)	(0.0246224,0.321074)
(0,0.270061)	(0.00799558,0.407478)
(0.971242,0.449858)	(0.971576,0.49323)
(0.971242,0.61074)	(0.999686,0.661681)
(0.951503,0.61074)	(0.970806,0.649122)
(0.871447,0.0285336)	(0.903046,0.0342565)
(0.871447,0.0574001)	(0.924071,0.057943)
(0.693482,0.0574001)	(0.871447,0.057943)
(0.906207,0.727581)	(0.936615,0.73115)
(0.906207,0.73115)	(0.936615,0.737301)
(0.752747,0.73115)	(0.818709,0.736026)
(0.983621,0.835009)	(1,0.839827)
(0.983621,0.839827)	(1,0.840727)
(0.329787,0.839827)	(0.983621,0.840727)
(0.899557,0.368192)	(0.924071,0.369595)
(0.899557,0.369595)	(0.924071,0.411504)
(0.897555,0.369595)	(0.899557,0.411504)
(0.8634,0.580226)	(0.864549,0.58943)
(0.8634,0.615038)	(0.875661,0.631551)
(0.732665,0.615038)	(0.760785,0.621519)
(0.268211,0.309519)	(0.269273,0.349114)
(0.268211,0.349114)	(0.269273,0.458435)
(0.247494,0.349114)	(0.252106,0.395145)
(0.339101,0.111151)	(0.341169,0.120615)
(0.339101,0.132178)	(0.352008,0.166291)
(0.335472,0.132178)	(0.339101,0.178316)
(0.0380415,0.497114)	(0.0542946,0.512003)
(0.0380415,0.579315)	(0.0882956,0.598841)
(0.0227203,0.579315)	(0.0380415,0.598841)
(0.0233279,0.0146065)	(0.0247224,0.0817925)
(0.0233279,0.0817925)	(0.0247224,0.147991)
(0,0.0817925)	(0.0170229,0.133862)
(0.496146,0.40817)	(0.509008,0.414455)
(0.496146,0.415089)	(0.593291,0.41528)
(0.478603,0.415089)	(0.496146,0.41528)
(0.635346,0.737301)	(0.685369,0.740886)
(0.635346,0.740886)	(0.679997,0.779475)
(0.624466,0.740886)	(0.62516,0.781507)
(0.399136,0.850416)	(0.418019,0.861901)
(0.399136,0.861901)	(0.418019,0.875132)
(0.329787,0.861901)	(0.36442,0.866989)
(0.731511,0.76355)	(0.751668,0.766885)
(0.731511,0.783514)	(0.756646,0.785653)
(0.685369,0.783514)	(0.731511,0.785653)
(0.420763,0.885854)	(0.462382,0.896525)
(0.420763,0.896525)	(0.462382,0.904092)
(0.326566,0.896525)	(0.420763,0.904092)
(0.97397,0.0419568)	(0.974458,0.108955)
(0.97397,0.108955)	(0.974458,0.333264)
(0.924071,0.108955)	(0.953407,0.193029)
(0.410189,0.090274)	(0.412792,0.184605)
(0.410189,0.184605)	(0.412792,0.18839)
(0.404413,0.184605)	(0.410189,0.18839)
(0.604893,0.057943)	(0.605609,0.0995115)
(0.604893,0.172247)	(0.607001,0.18839)
